meter,n_records,kwh_mean,kwh_std,kwh_cv,kwh_p95,kwh_max,v_mean,v_std,v_cv,v_min,v_max,v_pct_outside_band,f_mean,f_std,f_min,f_max,f_pct_outside_band,i_mean,i_p95,i_max,v_i_corr,kwh_v_corr,kwh_ramp_mean,kwh_ramp_p95,v_ramp_mean,v_ramp_p95,kmeans_cluster
BR02,7248,0.0950110375275938,0.0794620479944831,0.8363454400906338,0.2376499999999996,0.727,236.81018915562916,52.30723379445497,0.2208825303546344,0.0,316.111,0.3480960264900662,47.15439859271523,10.199785497744992,0.0,50.268,0.1411423841059602,0.9132322019867548,2.373,6.222,0.1584792482427784,0.191053848107734,0.0346693804332827,0.1589999999999999,11.642127639023045,75.91299999999998,0
BR03,6576,0.1311992092457421,0.0943490284473367,0.7191280266835811,0.298,0.363,232.35533865571776,54.59500921951481,0.2349634380486886,0.0,311.057,0.2871046228710462,46.9010326946472,10.714229803247717,0.0,50.269,0.1485705596107056,1.255726125304136,2.798,3.427,0.2564699163470085,0.2739883990954831,0.0207892015209125,0.0829999999999999,12.209765627376424,77.25339999999986,0
BR04,7584,0.2074361814345992,0.1775313101871638,0.8558357995185917,0.51,1.608,238.08627703059076,40.49831804151387,0.1700993377132375,0.0,306.721,0.3238396624472573,48.256667457805904,7.88635739698133,0.0,50.266,0.10667194092827,1.9785527426160336,4.689249999999998,13.457,0.0469160526186509,0.0564655587254966,0.0736489516022682,0.306,8.811777396808651,52.1714,3
BR05,5476,0.0549642074506939,0.042351874524477,0.7705355264599988,0.13425,0.32,235.02434176406132,47.68720887704817,0.2029032759718178,0.0,267.728,0.3285244704163623,47.62799653031409,9.406258276061193,0.0,50.173,0.1243608473338203,0.603432980277575,1.6442499999999998,3.554,0.1600960677719614,0.1896163009116886,0.0199552511415525,0.071,10.037751050228312,68.72050000000006,0
BR06,7488,0.3096217948717949,0.2805651337922503,0.9061543419720304,0.925,2.394,242.09680742521363,40.0458442552396,0.1654125251842083,0.0,270.544,0.3199786324786324,48.26753472222222,7.780555162585479,0.0,50.41,0.1077724358974359,2.822769230769231,7.640949999999999,18.638,0.1295415566367164,0.1252673768049132,0.1545305195672499,0.5946999999999998,8.716383865366636,51.945600000000006,3
BR07,7344,0.1651932189542483,0.2367126726525101,1.4329442464467603,0.71,1.122,242.75234994553372,40.70540434031578,0.1676828436447632,0.0,269.21000000000004,0.3549836601307189,48.24592769607843,7.896394142646823,0.0,50.371,0.1086601307189542,1.4138105936819172,5.69485,9.074000000000002,0.0142578311000138,0.0203729771286991,0.0384579871986926,0.25,8.80052172136729,52.57369999999997,0
BR08,7584,0.1677776898734177,0.1996693149031083,1.1900826328801626,0.702,0.951,241.58642892932488,40.87200142664295,0.1691816945503999,0.0,312.27,0.3523206751054852,48.22423668248945,7.92641837680026,0.0,50.276,0.1061445147679324,1.6258175105485233,6.10685,8.675,0.0102868056269731,0.0053407084024307,0.0465368587630225,0.258,8.90034313596202,52.68089999999994,0
BR09,4704,0.1057693452380952,0.0664836318356553,0.6285718389009162,0.2528499999999994,0.573,248.92998575680275,37.02136690983238,0.1487220062993984,0.0,311.162,0.4141156462585034,48.70324277210885,6.9804923933894845,0.0,51.364,0.0778061224489796,1.3644844812925172,2.600699999999999,5.679,0.2612578993972114,0.2189543210660164,0.0260174356793536,0.1399999999999999,6.461245800552838,26.864900000000013,0
BR10,6816,0.1358984741784037,0.1068412043916204,0.7861839879921114,0.332,0.6900000000000001,235.55353638497652,52.06377909038641,0.2210273719062152,0.0,268.367,0.3271713615023474,47.17419762323944,10.172536505453124,0.0,50.271,0.1402582159624413,1.3028575410798122,3.24325,7.467,0.1553749395971174,0.19197171465547,0.0448517975055025,0.186,11.402650623624355,75.44279999999996,0
BR11,6672,0.1203547661870503,0.1258844276006459,1.045944681617358,0.243,1.152,239.3040403177458,32.58631098770557,0.1361711692975921,0.0,304.745,0.2633393285371702,48.71157269184653,6.298430982670479,0.0,50.262,0.0986211031175059,1.279336330935252,2.3683499999999995,10.59,0.0295364312375724,0.0334914203220168,0.0571713386298905,0.19,8.112489431869285,49.15300000000002,0
BR12,7152,0.2345978747203579,0.2702134913934092,1.151815598140031,0.883,1.263,241.22750643176732,35.216185210818104,0.1459874362245634,0.0,300.18600000000004,0.2003635346756152,48.53832606263983,6.858366651710862,0.0,50.256,0.1079418344519015,2.025910514541387,7.481349999999998,10.361,-0.0122071306603387,0.0045197979324589,0.0732243042931058,0.474,8.335429590267097,50.07849999999999,3
BR13,7152,0.1020248881431767,0.0927677886790709,0.9092662620603436,0.2494499999999998,1.605,240.6696875,36.28431582438336,0.1507639628458958,0.0,307.577,0.18498322147651,48.477646812080536,7.038003111579889,0.0,50.455,0.1072427293064876,0.9010005592841164,2.3229,14.574000000000002,0.0501861408666637,0.094074281192952,0.0298253391134107,0.1185,8.707899594462313,50.825,0
BR14,6528,0.0834702818627451,0.0598421398075728,0.716927491702672,0.182,0.587,243.44994178921567,34.2120205986791,0.140530001146193,0.0,274.747,0.2852328431372549,48.63384681372549,6.587135430902331,0.0,50.265,0.1024816176470588,0.7970957414215687,1.6652999999999991,4.62,0.0780902741706925,0.0754362919179216,0.0227468975026811,0.071,8.226092079056228,50.938300000000005,0
