meter,n_records,kwh_mean,kwh_std,kwh_cv,kwh_p95,kwh_max,v_mean,v_std,v_cv,v_min,v_max,v_pct_outside_band,f_mean,f_std,f_min,f_max,f_pct_outside_band,i_mean,i_p95,i_max,v_i_corr,kwh_v_corr,kwh_ramp_mean,kwh_ramp_p95,v_ramp_mean,v_ramp_p95
BR02,7248,0.09501103752759382,0.07946204799448318,0.8363454400906338,0.2376499999999996,0.727,236.81018915562913,52.30723379445497,0.22088253035463443,0.0,316.111,0.3480960264900662,47.15439859271523,10.199785497744992,0.0,50.268,0.14114238410596028,0.9132322019867549,2.373,6.222,0.15847924824277845,0.19105384810773404,0.034669380433282736,0.15899999999999997,11.642127639023043,75.91299999999998
BR03,6576,0.1311992092457421,0.09434902844733677,0.7191280266835811,0.298,0.363,232.35533865571776,54.59500921951481,0.23496343804868863,0.0,311.057,0.2871046228710462,46.9010326946472,10.714229803247717,0.0,50.269,0.1485705596107056,1.255726125304136,2.798,3.427,0.25646991634700855,0.27398839909548317,0.020789201520912546,0.08299999999999999,12.209765627376425,77.25339999999986
BR04,7584,0.2074361814345992,0.17753131018716384,0.8558357995185917,0.51,1.608,238.08627703059074,40.49831804151387,0.1700993377132375,0.0,306.721,0.32383966244725737,48.256667457805904,7.88635739698133,0.0,50.266,0.10667194092827004,1.9785527426160339,4.689249999999998,13.457,0.0469160526186509,0.0564655587254966,0.07364895160226824,0.30600000000000005,8.811777396808651,52.1714
BR05,5476,0.05496420745069394,0.04235187452447704,0.7705355264599988,0.13425,0.32,235.02434176406135,47.68720887704817,0.20290327597181784,0.0,267.728,0.3285244704163623,47.62799653031409,9.406258276061193,0.0,50.173,0.1243608473338203,0.603432980277575,1.6442499999999998,3.554,0.16009606777196148,0.18961630091168866,0.01995525114155251,0.07100000000000001,10.037751050228312,68.72050000000006
BR06,7488,0.3096217948717949,0.28056513379225034,0.9061543419720305,0.925,2.394,242.09680742521365,40.0458442552396,0.16541252518420838,0.0,270.544,0.31997863247863245,48.26753472222222,7.780555162585479,0.0,50.41,0.1077724358974359,2.822769230769231,7.640949999999999,18.638,0.1295415566367164,0.12526737680491326,0.1545305195672499,0.5946999999999998,8.716383865366636,51.945600000000006
BR07,7344,0.16519321895424838,0.23671267265251014,1.4329442464467603,0.71,1.122,242.75234994553375,40.70540434031578,0.1676828436447632,0.0,269.21000000000004,0.35498366013071897,48.24592769607843,7.896394142646823,0.0,50.371,0.10866013071895425,1.4138105936819172,5.69485,9.074000000000002,0.01425783110001389,0.02037297712869912,0.03845798719869264,0.25000000000000006,8.80052172136729,52.57369999999997
BR08,7584,0.1677776898734177,0.19966931490310832,1.1900826328801626,0.702,0.951,241.58642892932488,40.872001426642946,0.16918169455039994,0.0,312.27,0.35232067510548526,48.22423668248945,7.92641837680026,0.0,50.276,0.10614451476793249,1.6258175105485233,6.10685,8.675,0.01028680562697311,0.0053407084024307055,0.04653685876302255,0.258,8.90034313596202,52.680899999999944
BR09,4704,0.10576934523809524,0.06648363183565538,0.6285718389009162,0.25284999999999946,0.573,248.92998575680275,37.02136690983238,0.14872200629939844,0.0,311.162,0.4141156462585034,48.703242772108844,6.9804923933894845,0.0,51.364,0.0778061224489796,1.3644844812925172,2.600699999999999,5.679,0.26125789939721145,0.21895432106601645,0.026017435679353607,0.13999999999999999,6.461245800552838,26.864900000000013
BR10,6816,0.13589847417840373,0.10684120439162043,0.7861839879921114,0.332,0.6900000000000001,235.55353638497655,52.06377909038641,0.22102737190621521,0.0,268.367,0.32717136150234744,47.174197623239436,10.172536505453124,0.0,50.271,0.1402582159624413,1.3028575410798122,3.2432499999999997,7.467,0.15537493959711746,0.19197171465547005,0.04485179750550256,0.18600000000000003,11.402650623624357,75.44279999999996
BR11,6672,0.12035476618705035,0.12588442760064594,1.045944681617358,0.243,1.152,239.3040403177458,32.58631098770557,0.13617116929759213,0.0,304.745,0.26333932853717024,48.71157269184653,6.298430982670479,0.0,50.262,0.09862110311750599,1.279336330935252,2.3683499999999995,10.59,0.029536431237572488,0.0334914203220168,0.05717133862989058,0.19,8.112489431869285,49.15300000000002
